Ваш пол,Возраст,Характер,Что вы предпочитаете?,Как часто вы берете инициативу в свои руки?,Как часто вы пропускаете завтраки?,Сколько спите ночью в среднем,Гипертония,Курите?,Пьете энергетики?,Бывают ли проблемы со сном?,Повышенная тревожность?,Проблемы с концентрацией,Наличие кофейни возле дома,Какая культура ближе,Любишь ли горькое,Занимаетесь спортом?,Выпиваете алкоголь,Время подъема,Любите сладкое?,Любимое время года?,Что пьют родители,Какие напитки любите,Азартен?
Женский,22,Холерик,Кофе,Периодически,Очень часто,10,Нет,Да,Да,Да,Да,Да,Да,Восток,Нет,Нет,Редко,12,Да,Весна,Чай и кофе,Холодные,Нет
Мужской,22,Холерик,Чай,Часто,Очень часто,6,Да,Нет,Нет,Нет,Нет,Нет,Нет,Запад,Нет,Нет,Нет,6,Нет,Весна,Чай,Холодные,Да
Мужской,22,Меланхолик,Кофе,Очень редко,Часто,6,Нет,Да,Да,Да,Да,Да,Нет,Запад,Нет,Нет,Да,7,Нет,Весна,Кофе,Холодные,Нет
Мужской,22,Флегматик,Чай,Часто,Очень редко,6,Нет,Да,Нет,Да,Да,Да,Нет,Не знаю,Нет,Нет,Нет,12,Да,Лето,Чай и кофе,Холодные,Нет
Мужской,21,Флегматик,Чай,Часто,Редко,8,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Запад,Нет,Да,Нет,8,Да,Осень,Чай и кофе,Горячие,Нет
Мужской,22,Флегматик,Кофе,Периодически,Очень часто,5,Нет,Нет,Да,Да,Нет,Нет,Да,Не знаю,Да,Да,Да,8,Да,Весна,Чай и кофе,Холодные,Нет
Мужской,21,Флегматик,Чай,Редко,Часто,9,Нет,Нет,Нет,Да,Нет,Да,Нет,Запад,Нет,Нет,Нет,12,Да,Весна,Чай и кофе,Горячие,Нет
Женский,21,Меланхолик,Чай,Периодически,Редко,7,Нет,Нет,Нет,Да,Да,Да,Нет,Запад,Нет,Да,Нет,4,Да,Зима,Кофе,Горячие,Нет
Мужской,22,Меланхолик,Кофе,Периодически,Очень редко,6,Нет,Да,Да,Да,Да,Да,Нет,Запад,Нет,Да,Да,11,Да,Зима,Чай и кофе,Холодные,Да
Мужской,22,Холерик,Кофе,Часто,Периодически,7,Да,Нет,Нет,Нет,Нет,Нет,Да,Восток,Да,Нет,Да,6,Да,Лето,Чай и кофе,Горячие,Нет
Мужской,22,Меланхолик,Чай,Редко,Очень редко,7,Нет,Да,Нет,Нет,Да,Нет,Нет,Запад,Нет,Нет,Да,8,Да,Осень,Чай,Горячие,Нет
Мужской,21,Флегматик,Чай,Часто,Очень часто,7,Да,Нет,Да,Да,Нет,Да,Да,Запад,Да,Да,Редко,10,Да,Зима,Чай и кофе,Холодные,Да
Мужской,21,Сангвиник,Кофе,Периодически,Часто,5,Да,Нет,Да,Да,Нет,Нет,Да,Запад,Да,Нет,Да,9,Нет,Зима,Чай и кофе,Горячие,Нет
Мужской,21,Сангвиник,Кофе,Редко,Очень часто,9,Нет,Нет,Да,Нет,Да,Нет,Нет,Запад,Нет,Нет,Нет,8,Да,Зима,Чай и кофе,Холодные,Нет
Мужской,21,Холерик,Кофе,Часто,Очень редко,7,Нет,Да,Да,Нет,Да,Нет,Нет,Восток,Нет,Да,Да,7,Нет,Лето,Кофе,Горячие,Нет
Мужской,21,Холерик,Чай,Часто,Редко,7,Нет,Нет,Да,Нет,Нет,Нет,Да,Запад,Нет,Да,Редко,8,Да,Лето,Чай и кофе,Холодные,Нет
Мужской,21,Сангвиник,Кофе,Периодически,Периодически,6,Нет,Да,Да,Да,Да,Да,Да,Запад,Да,Да,Да,5,Нет,Осень,Чай и кофе,Горячие,Нет
Мужской,21,Флегматик,Кофе,Редко,Часто,8,Нет,Нет,Да,Да,Да,Да,Нет,Восток,Да,Нет,Редко,9,Да,Зима,Чай и кофе,Холодные,Нет
Мужской,22,Меланхолик,Чай,Периодически,Периодически,6,Нет,Да,Нет,Да,Да,Да,Да,Запад,Да,Нет,Редко,13,Да,Зима,Кофе,Горячие,Нет
Мужской,22,Флегматик,Чай,Периодически,Редко,6,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Восток,Нет,Да,Редко,9,Да,Осень,Чай и кофе,Холодные,Да
Мужской,21,Флегматик,Чай,Периодически,Очень редко,8,Нет,Нет,Нет,Нет,Нет,Нет,Да,Запад,Нет,Нет,Редко,8,Нет,Лето,Чай и кофе,Холодные,Да
Мужской,22,Флегматик,Чай,Периодически,Часто,8,Нет,Да,Нет,Нет,Нет,Нет,Нет,Восток,Нет,Нет,Редко,9,Да,Весна,Чай и кофе,Горячие,Нет
Мужской,22,Флегматик,Кофе,Периодически,Часто,6,Нет,Да,Да,Да,Нет,Нет,Да,Восток,Нет,Да,Да,7,Да,Лето,Чай и кофе,Холодные,Нет
Мужской,21,Холерик,Чай,Периодически,Часто,7,Нет,Нет,Да,Да,Да,Нет,Нет,Восток,Нет,Нет,Да,14,Да,Весна,Чай и кофе,Холодные,Да
Мужской,22,Сангвиник,Чай,Очень часто,Очень редко,10,Нет,Нет,Нет,Нет,Нет,Нет,Да,Восток,Нет,Да,Нет,10,Да,Зима,Чай и кофе,Горячие,Нет
Женский,21,Сангвиник,Кофе,Часто,Часто,6,Нет,Нет,Да,Нет,Нет,Нет,Нет,Не знаю,Да,Да,Нет,8,Нет,Осень,Чай и кофе,Холодные,Нет
Мужской,21,Флегматик,Чай,Периодически,Очень редко,7,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Восток,Нет,Нет,Нет,10,Да,Лето,Чай и кофе,Холодные,Нет
Мужской,21,Меланхолик,Кофе,Редко,Редко,9,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Восток,Нет,Нет,Нет,10,Нет,Весна,Чай,Холодные,Да
Женский,24,Меланхолик,Чай,Периодически,Редко,7,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Не знаю,Нет,Нет,Редко,10,Да,Лето,Чай и кофе,Горячие,Нет
Мужской,22,Сангвиник,Чай,Очень часто,Очень часто,8,Нет,Да,Нет,Нет,Нет,Нет,Нет,Восток,Нет,Да,Редко,9,Нет,Лето,Чай,Холодные,Нет
Мужской,22,Флегматик,Чай,Очень часто,Очень редко,6,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Не знаю,Нет,Нет,Да,8,Нет,Лето,Чай,Горячие,Нет
Женский,22,Сангвиник,Чай,Периодически,Очень часто,7,Нет,Да,Да,Да,Да,Нет,Да,Запад,Нет,Нет,Да,10,Да,Весна,Чай,Холодные,Нет
Женский,21,Холерик,Чай,Периодически,Очень редко,7,Нет,Нет,Нет,Нет,Да,Да,Нет,Восток,Нет,Нет,Редко,8,Да,Весна,Чай,Горячие,Да
Мужской,21,Холерик,Кофе,Часто,Очень часто,5,Нет,Да,Да,Да,Да,Нет,Да,Запад,Нет,Да,Да,8,Да,Лето,Чай и кофе,Горячие,Нет
Мужской,22,Меланхолик,Кофе,Периодически,Часто,6,Нет,Нет,Нет,Да,Нет,Да,Нет,Не знаю,Нет,Нет,Редко,8,Нет,Весна,Чай и кофе,Холодные,Нет
Мужской,21,Сангвиник,Чай,Периодически,Редко,8,Нет,Да,Нет,Да,Да,Нет,Нет,Не знаю,Нет,Да,Да,8,Да,Весна,Кофе,Холодные,Нет
Мужской,21,Меланхолик,Кофе,Периодически,Очень редко,10,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Запад,Нет,Да,Нет,11,Да,Зима,Чай и кофе,Горячие,Нет
Мужской,22,Меланхолик,Чай,Часто,Очень часто,7,Нет,Да,Да,Да,Нет,Нет,Нет,Восток,Нет,Нет,Да,7,Нет,Лето,Чай и кофе,Горячие,Да
Мужской,22,Меланхолик,Чай,Редко,Часто,8,Нет,Да,Да,Да,Да,Нет,Нет,Запад,Нет,Нет,Редко,14,Да,Зима,Чай и кофе,Горячие,Нет
